id,name,nickname,gender,date_of_birth,weight,height,team,team.shortname,team.shield,shirt_number,position,photo,aerial_duels_won,appearances,assists_intentional,attempts_from_set_pieces,blocks,catches,clean_sheets,duels_won,goals,goals_conceded,interceptions,key_passes_attempt_assists,offsides,open_play_passes,penalties_saved,red_cards_2nd_yellow,saves_made,shots_on_target_inc_goals,straight_red_cards,successful_crosses_open_play,successful_dribbles,successful_long_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,total_clearances,total_fouls_conceded,total_losses_of_possession,total_passes,total_tackles,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_short_passes,yellow_cards,predicted_position,score
15895.0,Sergi Puig,Sergi Puig,male,1998-11-19T00:00:00+00:00,72.0,182.0,SD Ponferradina,PON,https://assets.laliga.com/assets/2021/06/24/medium/20f0382ea9163a771b3e01bbe7cf78b7.png,35.0,Goalkeeper,https://assets.laliga.com/squad/2021/t3090/p242309/512x556/p242309_t3090_2021_1_001_000.png,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,5.0,7.0,4.0,0.0,1.0,10.0,21.0,0.0,0.0,0.0,8.0,1.0,0.0,Midfielder,17.0
6724.0,Andrii Lunin,Lunin,male,1999-02-11T00:00:00+00:00,80.0,191.0,Real Madrid,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,13.0,Goalkeeper,https://assets.laliga.com/squad/2021/t186/p224965/512x556/p224965_t186_2021_1_001_000.png,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,12.0,1.0,56.0,45.0,3.0,1.0,10.0,67.0,0.0,0.0,0.0,7.0,3.0,0.0,Midfielder,15.0
14270.0,Ramón Juan,Ramón J.r.,male,1999-12-10T00:00:00+00:00,,,CD Mirandés,MIR,https://assets.laliga.com/assets/2019/06/07/medium/mirandes.png,27.0,Goalkeeper,https://assets.laliga.com/squad/2021/t5741/p464490/512x556/p464490_t5741_2021_1_001_000.png,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,41.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,25.0,19.0,32.0,26.0,3.0,0.0,35.0,86.0,0.0,0.0,0.0,35.0,0.0,0.0,Forward,13.333333333333334
4509.0,José Antonio Caro,J.a. Caro,male,1994-05-03T00:00:00+00:00,88.0,194.0,Burgos CF,BUR,https://assets.laliga.com/assets/2021/06/24/medium/8de24d38ab1472bbae1620d36582d7bd.png,13.0,Goalkeeper,https://assets.laliga.com/squad/2021/t951/p229320/512x556/p229320_t951_2021_1_001_000.png,9.0,15.0,0.0,0.0,0.0,24.0,8.0,16.0,0.0,12.0,0.0,1.0,0.0,164.0,0.0,0.0,53.0,0.0,0.0,0.0,2.0,173.0,149.0,98.0,74.0,15.0,0.0,215.0,458.0,1.0,0.0,0.0,210.0,1.0,2.0,Midfielder,13.1
14938.0,Giorgi Makaridze,Makaridze,male,1990-03-31T00:00:00+00:00,80.0,193.0,UD Almería,ALM,https://assets.laliga.com/assets/2019/06/07/medium/almeria.png,1.0,Goalkeeper,https://assets.laliga.com/squad/2021/t1564/p48807/512x556/p48807_t1564_2021_1_001_000.png,3.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,20.0,17.0,0.0,0.0,14.0,36.0,0.0,0.0,0.0,12.0,1.0,1.0,Midfielder,11.5
7549.0,Andoni Zubiaurre,Zubiaurre,male,1996-12-04T00:00:00+00:00,80.0,190.0,R. Sociedad B,RSOB,https://assets.laliga.com/assets/2019/06/07/medium/real-sociedad.png,13.0,Goalkeeper,https://assets.laliga.com/squad/2021/t3567/p446306/512x556/p446306_t3567_2021_1_001_000.png,8.0,21.0,0.0,0.0,0.0,21.0,6.0,9.0,0.0,24.0,0.0,0.0,0.0,301.0,3.0,0.0,69.0,0.0,2.0,0.0,0.0,87.0,63.0,283.0,259.0,20.0,3.0,214.0,555.0,0.0,0.0,0.0,208.0,1.0,2.0,Goalkeeper,11.428571428571429
4516.0,Juan Soriano,Juan Soriano,male,1997-08-23T00:00:00+00:00,78.0,185.0,CD Tenerife,TEN,https://assets.laliga.com/assets/2019/06/07/medium/tenerife.png,1.0,Goalkeeper,https://assets.laliga.com/squad/2021/t612/p178874/512x556/p178874_t612_2021_1_001_000.png,18.0,43.0,0.0,0.0,0.0,56.0,17.0,24.0,0.0,36.0,1.0,0.0,0.0,494.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,312.0,221.0,400.0,309.0,49.0,1.0,494.0,1104.0,1.0,1.0,0.0,477.0,6.0,5.0,Midfielder,10.883720930232558
14070.0,Leonardo Román Riquelme,Leo Roman,male,2000-07-06T00:00:00+00:00,,,RCD Mallorca,MLL,https://assets.laliga.com/assets/2019/06/07/medium/mallorca.png,31.0,Goalkeeper,https://assets.laliga.com/squad/2021/t181/p500755/512x556/p500755_t181_2021_1_001_000.png,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,36.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,9.0,4.0,36.0,31.0,3.0,0.0,20.0,60.0,0.0,0.0,0.0,20.0,0.0,0.0,Forward,10.75
9396.0,Alejandro Domínguez,A. Domínguez,male,1998-07-30T00:00:00+00:00,80.0,187.0,UD Ibiza,IBI,https://assets.laliga.com/assets/2021/06/24/medium/d7bc0d2c9bf06afd6b5ace9d62771713.png,13.0,Goalkeeper,https://assets.laliga.com/squad/2021/t16203/p439750/512x556/p439750_t16203_2021_1_001_000.png,6.0,10.0,0.0,0.0,0.0,6.0,2.0,8.0,0.0,14.0,0.0,0.0,0.0,205.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,38.0,20.0,214.0,196.0,13.0,1.0,90.0,320.0,1.0,0.0,0.0,81.0,5.0,0.0,Goalkeeper,10.5
3.0,Oier Olazábal,Oier,male,1989-09-14T00:00:00+00:00,86.0,190.0,RCD Espanyol de Barcelona,ESP,https://assets.laliga.com/assets/2019/06/07/medium/espanyol.png,1.0,Goalkeeper,https://assets.laliga.com/squad/2021/t177/p49442/512x556/p49442_t177_2021_1_001_000.png,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,6.0,13.0,10.0,0.0,0.0,19.0,38.0,0.0,0.0,0.0,19.0,0.0,0.0,Midfielder,10.25
