id,name,nickname,gender,date_of_birth,weight,height,team,team.shortname,team.shield,shirt_number,position,photo,aerial_duels_won,appearances,assists_intentional,attempts_from_set_pieces,blocks,catches,clean_sheets,duels_won,goals,goals_conceded,interceptions,key_passes_attempt_assists,offsides,open_play_passes,penalties_saved,red_cards_2nd_yellow,saves_made,shots_on_target_inc_goals,straight_red_cards,successful_crosses_open_play,successful_dribbles,successful_long_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,total_clearances,total_fouls_conceded,total_losses_of_possession,total_passes,total_tackles,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_short_passes,yellow_cards,predicted_position,score
16.0,Sergio Busquets,Sergio,male,1988-07-16T00:00:00+00:00,76.0,189.0,FC Barcelona,BAR,https://assets.laliga.com/assets/2019/06/07/medium/barcelona.png,5.0,Midfielder,https://assets.laliga.com/squad/2021/t178/p54104/512x556/p54104_t178_2021_1_001_000.png,60.0,36.0,0.0,0.0,8.0,0.0,8.0,238.0,2.0,36.0,45.0,33.0,2.0,2673.0,0.0,0.0,0.0,4.0,0.0,2.0,21.0,202.0,1411.0,1016.0,2223.0,30.0,53.0,403.0,2769.0,93.0,24.0,5.0,82.0,262.0,12.0,Midfielder,2636.0
1829.0,Aleix García,Aleix Garcia,male,1997-06-28T00:00:00+00:00,68.0,173.0,Girona FC,GIR,https://assets.laliga.com/assets/2019/06/07/medium/girona.png,14.0,Midfielder,https://assets.laliga.com/squad/2021/t2893/p178871/512x556/p178871_t2893_2021_1_001_000.png,29.0,40.0,3.0,8.0,9.0,0.0,8.0,152.0,0.0,38.0,47.0,75.0,1.0,2201.0,0.0,0.0,0.0,6.0,0.0,12.0,31.0,157.0,1219.0,910.0,1885.0,49.0,35.0,542.0,2328.0,65.0,26.0,7.0,100.0,186.0,7.0,Forward,2281.5
8.0,Jordi Alba,Jordi Alba,male,1989-03-21T00:00:00+00:00,68.0,170.0,FC Barcelona,BAR,https://assets.laliga.com/assets/2019/06/07/medium/barcelona.png,18.0,Defender,https://assets.laliga.com/squad/2021/t178/p52356/512x556/p52356_t178_2021_1_001_000.png,14.0,30.0,7.0,1.0,6.0,0.0,4.0,85.0,2.0,32.0,33.0,48.0,11.0,2307.0,0.0,0.0,0.0,6.0,0.0,22.0,6.0,98.0,1295.0,799.0,1973.0,33.0,26.0,509.0,2392.0,47.0,66.0,16.0,83.0,238.0,11.0,Midfielder,2202.0
1487.0,Toni Kroos,Kroos,male,1990-01-04T00:00:00+00:00,76.0,183.0,Real Madrid,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,8.0,Midfielder,https://assets.laliga.com/squad/2021/t186/p44989/512x556/p44989_t186_2021_1_001_000.png,9.0,28.0,2.0,4.0,3.0,0.0,7.0,90.0,1.0,18.0,12.0,48.0,0.0,2039.0,0.0,0.0,0.0,12.0,0.0,2.0,9.0,218.0,1239.0,821.0,1822.0,11.0,20.0,219.0,2150.0,34.0,24.0,8.0,32.0,78.0,4.0,Forward,2148.5
1568.0,Manuel Antonio Molina Valero,Manu N. Molina,male,1991-11-20T00:00:00+00:00,72.0,175.0,UD Ibiza,IBI,https://assets.laliga.com/assets/2021/06/24/medium/d7bc0d2c9bf06afd6b5ace9d62771713.png,8.0,Midfielder,https://assets.laliga.com/squad/2021/t16203/p88273/512x556/p88273_t16203_2021_1_001_000.png,26.0,38.0,2.0,0.0,5.0,0.0,8.0,128.0,0.0,42.0,56.0,47.0,1.0,2010.0,0.0,1.0,0.0,0.0,0.0,11.0,8.0,133.0,892.0,1019.0,1743.0,45.0,57.0,365.0,2131.0,59.0,4.0,8.0,57.0,198.0,5.0,Goalkeeper,2046.5
1564.0,Roque Mesa,Roque Mesa,male,1989-06-07T00:00:00+00:00,74.0,172.0,Real Valladolid CF,VLL,https://assets.laliga.com/assets/2019/06/07/medium/valladolid.png,17.0,Midfielder,https://assets.laliga.com/squad/2021/t192/p106899/512x556/p106899_t192_2021_1_001_000.png,17.0,39.0,5.0,3.0,3.0,0.0,3.0,267.0,3.0,31.0,24.0,44.0,1.0,1911.0,0.0,0.0,0.0,14.0,0.0,12.0,82.0,146.0,976.0,804.0,1613.0,16.0,65.0,502.0,2032.0,84.0,45.0,41.0,80.0,193.0,15.0,Forward,2019.5
8867.0,Éder Gabriel Militão,E. Militão,male,1998-01-18T00:00:00+00:00,79.0,186.0,Real Madrid,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,3.0,Defender,https://assets.laliga.com/squad/2021/t186/p218449/512x556/p218449_t186_2021_1_001_000.png,83.0,34.0,0.0,0.0,20.0,0.0,13.0,183.0,1.0,30.0,52.0,10.0,1.0,1894.0,0.0,0.0,0.0,8.0,0.0,1.0,11.0,129.0,583.0,1197.0,1650.0,105.0,38.0,268.0,1993.0,50.0,40.0,9.0,99.0,115.0,5.0,Midfielder,1972.5
715.0,Daniel Parejo,Parejo,male,1989-04-16T00:00:00+00:00,74.0,182.0,Villarreal CF,VIL,https://assets.laliga.com/assets/2019/06/07/medium/villarreal.png,5.0,Midfielder,https://assets.laliga.com/squad/2021/t449/p51952/512x556/p51952_t449_2021_1_001_000.png,17.0,33.0,10.0,3.0,7.0,0.0,7.0,140.0,2.0,32.0,29.0,56.0,0.0,1848.0,0.0,0.0,0.0,6.0,0.0,10.0,25.0,139.0,1096.0,700.0,1605.0,15.0,16.0,408.0,1990.0,43.0,18.0,8.0,60.0,186.0,3.0,Forward,1915.5
7414.0,Álvaro Aguado,Aguado,male,1996-05-01T00:00:00+00:00,66.0,174.0,Real Valladolid CF,VLL,https://assets.laliga.com/assets/2019/06/07/medium/valladolid.png,16.0,Midfielder,https://assets.laliga.com/squad/2021/t192/p442291/512x556/p442291_t192_2021_1_001_000.png,16.0,41.0,2.0,1.0,4.0,0.0,6.0,129.0,4.0,27.0,27.0,31.0,1.0,1977.0,0.0,0.0,0.0,8.0,0.0,8.0,12.0,165.0,906.0,890.0,1609.0,16.0,22.0,395.0,2041.0,52.0,44.0,15.0,75.0,192.0,7.0,Forward,1911.5
68.0,Carlos Henrique Casimiro,Casemiro,male,1992-02-23T00:00:00+00:00,84.0,185.0,Real Madrid,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,14.0,Midfielder,https://assets.laliga.com/squad/2021/t186/p61256/512x556/p61256_t186_2021_1_001_000.png,101.0,32.0,2.0,1.0,19.0,0.0,8.0,237.0,1.0,23.0,38.0,23.0,4.0,1912.0,0.0,0.0,0.0,9.0,0.0,4.0,19.0,175.0,852.0,840.0,1513.0,59.0,54.0,350.0,1962.0,79.0,32.0,8.0,55.0,219.0,11.0,Goalkeeper,1907.5
